iter	RMSE
0	0.4874035079
1	0.4775977545
2	0.4683973614
3	0.4617564184
4	0.4543852034
5	0.4475160052
6	0.4406207447
7	0.4325332712
8	0.4260457589
9	0.4198639619
10	0.4132050261
11	0.4069981494
12	0.4007397968
13	0.3942337969
14	0.3884144639
15	0.3827596962
16	0.3801605125
17	0.3758859602
18	0.3716384623
19	0.3674424131
20	0.3630119843
21	0.3581001441
22	0.3547354807
23	0.3509681935
24	0.3482983364
25	0.345155038
26	0.341442201
27	0.3384477371
28	0.3357950177
29	0.332749182
30	0.3309900787
31	0.3287562582
32	0.3261271684
33	0.3245118548
34	0.3223369782
35	0.3196058647
36	0.3173627069
37	0.3141951701
38	0.3115820005
39	0.3096651722
40	0.3076104027
41	0.3055192095
42	0.3034777691
43	0.3026233927
44	0.3006496625
45	0.2979770372
46	0.2957282298
47	0.2940266039
48	0.292161999
49	0.2899161406
50	0.2879426207
51	0.2858719572
52	0.2838980017
53	0.2829660809
54	0.2811074831
55	0.2790111915
56	0.2777945421
57	0.2759392115
58	0.2750941227
59	0.2734445888
60	0.2720817837
61	0.2702886046
62	0.2682765316
63	0.2666483437
64	0.264904065
65	0.2641026143
66	0.2621053051
67	0.2607475678
68	0.2595521293
69	0.2582650283
70	0.2570245351
71	0.2556727675
72	0.2543821861
73	0.2530887771
74	0.2522365689
75	0.2511076097
76	0.2496411635
77	0.2481993288
78	0.2472145468
79	0.2463172599
80	0.2454718741
81	0.2440968396
82	0.2432658078
83	0.2425246151
84	0.2418570395
85	0.2414839878
86	0.240914568
87	0.2398534117
88	0.2392444958
89	0.2376987351
90	0.2371665099
91	0.236412435
92	0.2359126096
93	0.2344203839
94	0.2335921835
95	0.232713271
96	0.2323467905
97	0.2312972519
98	0.2307327282
99	0.2291688052
