iter	Passed	Remaining
0	3	349
1	5	261
2	7	245
3	9	223
4	12	233
5	15	240
6	18	242
7	21	243
8	24	243
9	26	240
10	28	228
11	29	217
12	31	207
13	32	199
14	33	191
15	35	185
16	35	175
17	37	170
18	39	167
19	40	163
20	42	158
21	43	154
22	45	150
23	46	147
24	47	143
25	49	140
26	50	137
27	52	134
28	53	131
29	55	128
30	55	124
31	57	121
32	58	119
33	60	116
34	61	114
35	62	111
36	64	109
37	65	107
38	67	105
39	68	103
40	70	101
41	72	99
42	73	98
43	75	95
44	76	93
45	78	91
46	79	89
47	81	87
48	82	85
49	84	84
50	85	82
51	86	80
52	88	78
53	89	76
54	91	74
55	92	72
56	94	70
57	95	69
58	96	67
59	98	65
60	100	63
61	101	62
62	103	60
63	104	58
64	105	57
65	107	55
66	108	53
67	110	51
68	111	50
69	113	48
70	115	47
71	117	45
72	119	44
73	120	42
74	122	40
75	123	38
76	124	37
77	126	35
78	128	34
79	129	32
80	131	30
81	132	29
82	134	27
83	135	25
84	136	24
85	138	22
86	139	20
87	141	19
88	142	17
89	144	16
90	145	14
91	146	12
92	148	11
93	149	9
94	151	7
95	152	6
96	154	4
97	155	3
98	156	1
99	158	0
